id,User Name,Title,Rating,Time,Country,Content,emotion_label,emotion_prob
531,Victoria Chanel,Communiqués,5,03/06/2023,France,Je prends note que ils une minorité de personnes qui travaillent dans vos bureaux es les autres font que de la présence pensé à leurs rappellé leurs travailler conseiller en bank.,neutre,26.98
532,Bger,Très bien,5,03/06/2023,France,Compréhension et prise en charge rapide du problème.,positif,47.05
533,Annie,En matière de situation temporaire résolu,4,03/06/2023,Guadeloupe,"En matière de compréhension, d'échanges et de solution apportée.",très positif,43.11
534,Sylvie,Personne a l'écoute,5,03/06/2023,France,"Personne a l'écoute, qui a pris en compte ma reclamation.",très positif,45.43
535,Romuald Remond,0 étoiles ! N'ouvrez pas de compte !,1,03/06/2023,France,"Cela fait des mois que je ne peux pas me connecter à l'application.  Jai essayé de nombreuses fois la procédure de changement de mot de passe qui plante à la fin. Je contacte un conseillé dit ""expert"" ce jour (pour trouver comment faire c'est pas facile) qui au bout de 30 min me dit d'envoyer un mail. On m'envoie un sms pour me dire.que je suis a découvert et que si je paye pas ils vont donner mon dossier à une entreprise de recouvrement. Hors, pour recouvrir il faut se connecter, et ils sont incapables de résoudre mon problème. Pour la blague, les 10€ sont dus aux frais de non utilisation de la cb. Comment utiliser la cb si on ne peut pas mettre d'argent sur le compte?",très négatif,67.16
536,Dan 1000,Débit sans boisson par automate,5,03/06/2023,France,"En prenant une boisson par un automate, il arrive que la commande n'est pas passée, et pas de boisson.Le principe de recevoir un sms de confirmation d'achat confirme au contraire que le débit est effectif. Ce qui est très appréciable.",neutre,36.91
537,Patrice Barthes,Orange Mécanique !,1,03/06/2023,France,"Orange Bank est un organisme qui se comporte comme la mafia ! Lorsque tu es client Orange pour ton service téléphone, on te propose, lorsque tu veux payer ton nouveau mobile en plusieurs fois, d'ouvrir un compte Orange Bank...OK, pourquoi pas ? Sauf que là tu mets le doigts dans un engrenage de frais d'une opacité inédite pour un service bancaire. Tu veux fermer ton compte ? Même chose, c'est un labyrinthe de démarches !!! Je n'ai qu'un mot ""Voleurs”, ce sont des voleurs ! Je suis profondément blessé par ces mésaventures. Orange Mécanique !!!!",très négatif,88.11
538,Gahizi callen,Réclamassion,1,03/06/2023,France,"Bonjour, je demander à orange de clôture mon compte individuel. Et ils ont refusé alors que que il me fait payer les frais supplémentaires pour cotisation alors que j’utilise même pas cette banque . Je comprends pas",très négatif,71.49
540,Philippe ANTONIEL,Passer votre chemin,1,02/06/2023,France,"Changement de carte facturé 10 euro ,depuis l ouverture du compte l application bug 4 fois j ai passé plus de temps au téléphone qu à travaillé, je demande la clôture de mon compte le 6 mai nous sommes le 2 juin et demandé toujours en cours ,alors si vous avez du temps à perdre et de l argent avec n hésiter pas ouvrer un compte !!",très négatif,74.41
541,Jean Emery,Impeccable,5,02/06/2023,France,"ImpeccableGrande courtoisie et patience, qui font rêver. Si tous les centres d'appel était comme cela. Quel bonheur.De plus le délai d'attente minime mois d'une minute",très positif,80.41
542,DUXIN DIANE,TELECHARGEMENT APPLI SMARTPHONE,5,02/06/2023,France,"Tres bon contact avec la conseillère, efficace et agréable",très positif,59.47
543,Gentil Nancy,Très bien réponse rapide explication…,5,02/06/2023,Martinique,Très bien réponse rapide explication claire SMS arrive tout de suite patience parfaite orientation et guide claire. Application claire et pratique,très positif,74.67
544,Sandrine,Merci,5,02/06/2023,France,"J'ai mal interprété une opération sur mon application et j'ai cru à un piratage sur mon compte. Le conseiller a pris le temps de comprendre et de m'expliquer que c'était une erreur de ma part! Très patient, il a su trouver les bons mots pour que je comprenne et sois rassuree! Merci à lui.",positif,33.26
545,Philippe Bouillard,Bonne expérience avec le milieu bancaire en ligne,5,02/06/2023,France,Très bonne première expérience avec le milieu bancaire en ligne je conseille,très positif,58.72
546,Mme Muriel LOUBATIERE,problème cb et appli,5,02/06/2023,France,problème résolu,neutre,36.99
547,Benjamin,Bravo service ultra efficace,5,02/06/2023,France,RAS service ultra efficace Un grand bravo,très positif,85.29
548,Gerard PERRIER,Contact agréable ayant répondu à mes…,5,02/06/2023,France,Contact agréable ayant répondu à mes attentes,positif,58.02
549,Gisele,Vu mon âge,5,02/06/2023,France,Vu mon âge. 84 ans  Avec très peu  D expérience     je suis satisfaite,positif,55.89
550,Françoise Borie,bonne experience,5,02/06/2023,France,premier contact fructueux,positif,41.32
551,Bob,Alerte immédiate de orange suite à un…,5,02/06/2023,France,Alerte immédiate de orange suite à un piratage de ma carte et facilité pour bloquer ma carte et recommander une nouvelle,positif,33.68
552,Gëzim,Ma demande a bien été écouté et le…,5,01/06/2023,France,Ma demande a bien été écouté et le service a voulu m'aider suite à ma situation,positif,48.62
553,Xavier,"Très bien, une équipe professionnelle",5,01/06/2023,France,"Très bien, l'équipe d'Orange est à l'écoute de ses  clients et répond à ses demandes. Vraiment rien à redire. Assistance, réactivité, efficacité, proche de ses clients, un vrai Bravo à toute l'équipe aussi bien en boutique qu'au téléphone.",très positif,87.31
554,berni,Problème de connexion,5,01/06/2023,France,Opératrice très gentille et competante.Reponse rapide.Tres pro,très positif,55.97
555,Moreau,VIGILANCE,5,01/06/2023,France,Un appel concernant la vigilance de ma carte bancaire spoliée à mon insu,très négatif,60.52
556,PM,Rapidité,5,01/06/2023,France,RapiditéEfficacité,très positif,54.77
557,Léa Guichard,Très bien,5,01/06/2023,France,Très bien merci,très positif,61.0
559,Love,parfait,5,01/06/2023,France,le service clients etait tres a l ecoute,très positif,40.04
560,Chabou,Achat rapide à la caisse rapide de chez Leclerc,5,01/06/2023,France,"Pour achat en caisse rapide à l'hypermarché. Carte de fidélité et appli sur le téléphone, tellement pratique",très positif,71.86
562,Laurence,Enfin,5,01/06/2023,France,Un résultat rapide efficace en ligne alors que j'essayais via le robot d'obtenir une réponse. Rien ne remplace l'humain.,très positif,39.24
563,Gerald,Virement non crédité,5,01/06/2023,France,Rapidité et professionnalisme,très positif,58.3
565,Martin,Très fonctionnel,5,01/06/2023,France,"Très fonctionnel,  malgré un gros bug récemment,  vite corrigé. Il aurait été judicieux d'informer à  cette occasion",positif,67.68
566,CARLE,Premier contact,5,01/06/2023,France,"Pour un premier contact de ma part, j'ai trouvé votre accès par téléphone a été rapide et que mon interlocutrice était aimable. suite a ma question, elle ma bien renseigné et donné tous les détails que je devais fournir. Et je trouve une grande facilité d'échanger avec vous, par rapport aux autres banques.Salutations",très positif,68.96
568,Guitton,Suite à piratage,5,01/06/2023,France,L écoute et le professionnalisme de la plupart des conseillers est à souligner.,positif,45.21
570,Aurelie,L'implication et les explications du…,3,01/06/2023,France,"L'implication et les explications du Conseiller à qui j'ai eut à parler  étaient juste parfaites, cependant gros problème pour pouvoir avoir quelqu'un via le numéro de g bank, le conseiller virtuel ne donne aucun conseiller en ligne, il donne un numéro ou il est impossible de joindre quelqu'un car ça nous renvoie au conseiller virtuel.Bref après des rechercher pour trouver un autre numéro et plus de 15 minutes d'attente, le conseiller était aimable et parfait.",neutre,41.47
571,Fixy,Rien à signaler,4,01/06/2023,France,"Rien à signalerJusqu'à maintenant, tout se passe pour le mieux.",très positif,65.71
572,Michel Friolet,Pas de problème,5,01/06/2023,France,Pas de problèmeTrès bon fonctionnement,très positif,59.84
574,jean-louis peyrou,à part le manque de contact tout ce…,4,01/06/2023,France,à part le manque de contact tout ce passe bien suite a ma demande de transfert de mon compte en banque principal,positif,57.13
575,Magali,Pratique,4,01/06/2023,France,"Pratique, simple, et surtout sans frais inutiles",très positif,70.71
577,Lucienne,dépannage rapide .Opératrice agréable,5,31/05/2023,France,"dépannage rapide .Opératrice agréable, patiente et efficace",positif,46.09
578,Adyb,Très bien,5,31/05/2023,France,Bon courage bon travail,très positif,45.03
580,wautier christian,parfait pour moi...parfois un peu…,5,31/05/2023,France,parfait pour moi...parfois un peu difficile à vous joindre par téléphone..,positif,54.14
582,AndreaB,Très satisfaisant,5,31/05/2023,France,"Très satisfaisant , à l'écoute de nos demandes et efficacité de traitement du problème que l'on rencontre.",très positif,49.16
584,GUY AUBRY,MAIL FRAUDULEUX,5,31/05/2023,France,ECOUTE/REPONSE,neutre,30.63
585,CAMBRONE,Efficace et rapidité,5,31/05/2023,France,"Aide appreciable, compréhension et patience",très positif,46.86
586,Lydie,Un appel frauduleux donc j ai appelé…,5,31/05/2023,France,Un appel frauduleux donc j ai appelé orange banque et était rassuré.,très négatif,58.18
587,Zamouri,PRÉSENTS ORANGE,5,31/05/2023,France,TRÈS PRATIQUE,positif,42.79
588,Noel,le professionnalisme de l'agent...,4,31/05/2023,Guadeloupe,le professionnalisme de l'agent.... dans la relation et la mise en confiance....avec l'autre est....essentiel.....suis tombé sur la bonne personne le jour de mon achat....,positif,47.53
589,ABDELLATIF ATMANI,Très bien expliqué document envoyé rapidement,5,31/05/2023,France,Monsieur Noah a bien écouter mes questions il était explicite merci beaucoup a ce conseiller...,très positif,56.73
590,Laurence,Professionnalisme et Gentillesse,5,31/05/2023,France,"Écoute active, recherche de solution, conseillère très professionnelle et gentille.",très positif,49.81
591,LAURENT ,Bonjour ma demande a été traitée…,5,31/05/2023,France,Bonjour ma demande a été traitée rapidement,positif,43.97
592,Zouheir,Ouverture de compte très rapide et…,5,31/05/2023,France,Ouverture de compte très rapide et service client joignable et rapide.Que du bon pour le moment !!!,très positif,67.93
593,Sophie KERNOA,Difficile d'obtenir la personne compétente et efficace,4,31/05/2023,France,Après avoir contacté le chat on m'a demandé d'envoyer une demande par mail pour avoir un conseillé. Demande dont la demande est apparue comme traité sans aucun contact avec mais qui n'a rien résolut. J'ai recontacté le chat deux jours après ma demande initiale ou on m'a mis en contact avec un conseillé qui m'a demandé de contacter le service fraude. J'ai enfin eu le service fraude ou une personne très aimable m'a expliqué très clairement la raison du problème et exposé la solution à mettre en œuvre.,très négatif,36.4
594,Pierre,J'ai trouvé que ma demande a bien été…,5,31/05/2023,France,J'ai trouvé que ma demande a bien été pris au clair et entendu. Merci,très positif,48.39
595,Khadijatou,"La conseillère connait très bien son travail (procèdure,etc)",5,31/05/2023,France,J ai obtenu rapidement les réponses à mes questions c'était fluide.,très positif,54.5
596,JOSEPH BATMANIAN,Achat internet,5,31/05/2023,France,Rapide et immédiat pour la sécurisation du paiement.,très positif,55.18
597,Thomas ROULLIER,Toujours aucune nouvelle du service…,1,31/05/2023,France,Toujours aucune nouvelle du service cloture de compte et de mon versement du solde sur le rib fourni il y a deux mois ! aucune communication lettre ou mail personne répond !,très négatif,92.82
598,Mathieu Charmoille,Banque et service excellent,5,31/05/2023,France,La rapidité des services proposés et la simplicité d'ouverture du compte un service client excellent réactif et professionnel merci beaucoup !,très positif,83.35
600,Françoise Lugon,Rien ne vaut une vraie personne,5,31/05/2023,France,"Comme je vous l'ai indiqué je n aime pas le tchat, je préfère parlé avec une vraie personne, et je suis toujours très satisfaite de nos échanges, voilà pourquoi je téléphone directement à Orange Bank",très positif,63.78
601,Moussa Sy,Réactivité,5,31/05/2023,France,"Besoin urgent, virement tres rapide",très positif,60.38
602,Cyril,Bonne prise en charge,5,31/05/2023,France,"Bonne prise en charge, mais beaucoup de démarches.Dommage.Mais problème résolu",neutre,56.74
603,DARTY,J était satisfaite de l offre,5,31/05/2023,Réunion,J était satisfaite de l offre . Et je savais pas si ça existait,positif,40.69
604,Patrice,LE PROFESSIONNEL,5,31/05/2023,Martinique,LE PROFESSIONNALISME,très négatif,24.56
605,virginie paone,Parfait,5,30/05/2023,France,Interlocutrice à l'écoute à pris le temps pour trouver une solution,positif,47.41
606,Nathalie DELCASSE,REPONSE APPORTEE POSITIVE ET PATIENTE,4,30/05/2023,France,REPONSE APPORTEE POSITIVE ET AIDE DANS LA MANIPULATION / PATIENTE  ET CONCLUSION DEMANDEE,positif,59.3
607,matthieu,accès au téléconseiller extrêmement…,2,30/05/2023,France,accès au téléconseiller extrêmement difficile.Appli bingo totalement nul,très négatif,92.55
608,Alain D,La limite de virement est assez basse…,4,30/05/2023,France,La limite de virement étant assez basse j'ai dû faire plusieurs virements de plusieurs comptes pour un paiement.,neutre,37.42
609,Sans,Découverte,3,30/05/2023,France,Le compte est ouvert depuis un certain temps mais n'a pas vraiment fonctionné. Pour l'heure je n'ai pas grand chose à  dire de plus. Il devrait trouver   sa vitesse de croisière d'ici peut.,neutre,55.54
610,AURELIE,Accueil très agréable,5,30/05/2023,France,"On m'a bien renseigné, la personne était très agréable et explications simple et claire",très positif,48.68
611,Bruno,Très bien,5,30/05/2023,France,Rien a redire ! J ai obtenu les réponses à toutes mes questions . Et un conseiller très aimable et très pro.,très positif,79.34
612,Client,Conseillère à l'écoute,5,30/05/2023,France,"Conseillère à l'écoute,  réponse claire et précise. Conseils pertinents",très positif,53.51
613,Alexandre hoarau,Pas grand chose je dois juste  le…,5,30/05/2023,Réunion,Pas grand chose je dois juste  le réapprovisionner,neutre,38.63
614,Jerome QUADRI,Aucune expérience récente mais je suis…,5,30/05/2023,France,Aucune expérience récente mais je suis satisfait de vos services,positif,51.46
615,Sébastien,virtement,4,30/05/2023,France,Manque un contact avec une personne en direct,négatif,30.03
616,Sylvain,Cette année expérience était simple a…,5,30/05/2023,France,Cette année expérience était simple a réaliser,positif,31.66
617,Eric,1 etoile car je suis obligé  autant je…,1,30/05/2023,France,"1 etoile car je suis obligé  autant je suis tombé sur des bonne personne qui nous accompagne autant à cette heure je ne peux pas allé travailler n y même faire de course ou emmener ma chienne au vétérinaire car malgré que je n'est pas l'argent sur le compte il mon prélevé une facture au lieu de la rejeté quitte à avoir des frais bancaires,  du coup je me retrouve à découvert alors que je n'est pas d autorisation et je ne peux même pas retiré l'argent que j ai mis sur le compte car sa ne comble pas le découvert à cette heure je me retrouve bloqué à tous point de vue que sa soit pour me nourrir moi ma chienne ou me mettre de l'essence dans la voiture pour allé travailler et sa leur est égale pour eux ces normal !!!!",très négatif,87.99
618,Christophe,Très satisfait,5,30/05/2023,France,Expert a l ecoute,très positif,61.26
620,Isabelle,Demande,5,30/05/2023,France,"Contact conseiller cordial, clair, précis.",très positif,45.54
622,Izard,ça marche trés bien dans tous les pays…,5,30/05/2023,France,ça marche trés bien dans tous les pays du monde,très positif,61.52
623,stephane,soucis de gestion des plafonds,5,30/05/2023,France,soucis de gestion des plafonds tout de suite endigué par l operatrice tres sympathique,positif,51.77
624,Romuald Noyer,J'ai besoin d'un compte bancaire…,5,30/05/2023,France,J'ai besoin d'un compte bancaire rapidement bonjour ce Romuald Boyer pas Noyer,très négatif,51.84
626,thierry,payement et vu aussitôt sur mon compte,4,30/05/2023,France,mon compte en ligne avec vu sur mes dépenses aussitôt.,positif,22.59
627,AgnèS CLET,Chèques envoyés toujours pris en compte…,5,29/05/2023,France,Chèques envoyés toujours pris en compte rapidement.,très positif,40.84
628,Fumaroli,Super!,5,29/05/2023,France,Problème  lié  à des achats  frauduleux sur le net,très négatif,41.31
629,Dufour ,Achat,5,29/05/2023,France,Bon suivi des opérations et facilité de connexion,positif,51.35
630,Granon,Très satisfais,5,29/05/2023,France,Très satisfais de la sécurité lors du piratage de ma carte.,très positif,62.36
633,Fofana,Je n'est plus accès à mon application…,2,28/05/2023,France,Je n'est plus accès à mon application parce que la ligne n'est pas a mon nom .,très négatif,70.31
635,Marie,J'ai essayé de crédité mon compte de…,4,27/05/2023,Réunion,"J'ai essayé de crédité mon compte de mon livret A, impossible, pourquoi ?",très négatif,68.0
636,Adeline,Très bon accueil téléphonique,5,26/05/2023,France,"Très bon accueil téléphonique, de bon conseil. Et surtout serviable",très positif,61.33
637,Jeannette,Facilité,5,26/05/2023,France,J'ai apprécié la facilité de connexion,positif,63.64
638,Un client satisfait,Un service au top !,5,26/05/2023,Réunion,Contact agréableEcouteSolution trouvée et mise  en œuvre rapidement,positif,52.16
640,Didier,A chaque demande vous avez répondu…,5,26/05/2023,France,A chaque demande vous avez répondu présent,très positif,63.11
641,Dupond,changement de box et autre mais je suis…trop agee pour des dates donc je mets n importe quoi,4,26/05/2023,Martinique,changement de box et autre mais je suis agee donc pas de date  donner,positif,33.21
643,Christophe L,Le conseiller a été efficace et…,4,26/05/2023,France,"Le conseiller a été efficace et courtois.Seulement 4 étoiles parce qu'il n'est pas évident de passer du ""dialogue"" avec le robot à un dialogue avec un vrai humain...",positif,46.46
644,Boldoum,La rapidité,5,26/05/2023,France,"J'ai obtenu rapidement mon prêt, Je vous remercie",très positif,60.5
646,Leonetti,Demande de prêt personnel,5,26/05/2023,France,Alors que ma banque me faisait galéré pour un prêt orange n'a pas hésiter à me le faire encore merci,très positif,39.27
647,Gerard,Accueil chaleureux,5,25/05/2023,France,Accueil très chaleureux,très positif,47.23
648,Jerome,A l'écoute du client,5,25/05/2023,France,Mauvaise manipulation sur l'application qui a était résolu très rapidement avec une super accueil,neutre,38.29
649,TSM,Qu’il est parfois impossible de payer…,4,25/05/2023,France,Qu’il est parfois impossible de payer en ligne avec la carte Orange Bank.Sinon très bonne solution. Bancaire,neutre,38.98
650,Ollivier,"Satisfait, OUI mais !",4,25/05/2023,France,"J'ai pu avec l'aide d'un conseiller de la boutique Orange de VALENCIENNES, renouer avec l'usage de ma carte mais seulement avec le ""sans contact"" car j'ai oublié mon code secret.Comment en changer?",neutre,31.84
651,OLIVER M,Suivi EXECRABLE de clôture d'un compte…,1,26/05/2023,France,"Suivi EXECRABLE de clôture d'un compte pour mon fils (suite à son décès dans des circonstances tragiques, il y a presque 1 an). J'ai relancé à multiples reprises le service client, jamais la même personne au bout du fil, impossible d'avoir des infos ALORS QUE J'AI ENVOYE toutes les pièces demandées par courriel. De plus, lors de la réponse automatique par mail, lorsque celle ci est personnalisée, elle s'adresse au PRENOM de mon fils et dit qu'il ne peut pas être joint par téléphone (téléphone toujours sous scellés et ligne coupée depuis 10 mois, mais je dois redire le numéro à chaque fois pour pouvoir avoir accès au service !!!) et ajoute ""joindre le document demandé pour compléter le dossier de votre fils"". Alors qu'ils ont mon téléphone personne. Inacceptable, et d'une indélicatesse absolument effrayante. Ca fait des mois que ça dure, et toujours aucune réponse claire. Je me fiche complètement de la somme (très petite) qui est sur le compte, je souhaite seulement pouvoir clore le dossier, qui ravive à chaque fois la douleur liée à la mort de mon seul et unique enfant (il aurait eu 27 ans en juin 2023).Et ça continue !La réponse a été très rapide suite à mon avis QUE JE MAINTIENS. Voici ce que j'ai reçu :Réponse : Orange BankIl y a 2 heures""Bonjour Olivier,""  (c'est OLIVER et non Olivier)""Si vous avez fourni les documents demandés, la procédure a été prise en charge par le service juridique et elle suit donc actuellement son cours"".MA REMARQUE Toujours aucune précision quant au délai et je n'apprécie que moyennement le ""si""...Je n'ai jamais eu confirmation que tous les documents ont bien été RECUS par Orange Bank. En revanche, j'ai la preuve par mail que je les ai envoyés ! Je répète, cela fait 10 mois que ça dure, et malgré la ""promesse"" d'avoir des nouvelles par téléphone sur MON portable personnel que j'ai donné, aucun appel, aucun SMS, aucun mail adressé à moi en tant que co-héritère. Le père (2ème et seul autre héritier) refuse toute communication avec moi depuis des années et je ne sais même pas si Orange Bank a pu le joindre - coordonnées complètes de Monsieur fournies également.""Nous sommes navrés toutefois que vous receviez des mails ou courriers avec le prénom de votre fils, mais les demandes étant rattachées à son compte, il est vrai que les procédures d'échanges automatisées reprennent l'identité du titulaire du compte.""MA REMARQUE :""Toutefois""... Il ne manquerait plus que le contraire !""Nous vous prions de bien vouloir accepter nos excuses et allons faire remonter votre remarque sur ce point.""MA REMARQUE :Toujours le grand flou quant à la réponse ""bateau"" (histoire de noyer le poisson) : ""nous allons faire remonter la votre remarque"" => à qui ? dans quel but ? à quelle échéance ? quelles suites éventuelles données pour que cela ne se reproduise pas ?",très négatif,89.98
652,Peter,Très bien,5,25/05/2023,France,Très bonne expérience,très positif,59.87
653,Brigitte,J'ai obtenu les renseignements que je…,5,25/05/2023,France,J'ai obtenu les renseignements que je souhaitais.,positif,47.99
654,Valery,Super banque en ligne,5,25/05/2023,France,"Personne professionnelle, patiente, attentive",positif,49.28
655,Catherine,Changé de date,5,25/05/2023,France,"J'avais besoin de changer ma date de prélèvement, cela a été fait immédiatement et d'avoir des renseignements pour le remboursement anticipé. Merci",positif,45.94
656,lucas,Solde de compte visible de suite,5,25/05/2023,France,Solde de compte visinle de suite,très négatif,35.9
657,L. Trichet,Simple et efficace !,5,24/05/2023,France,"L'application a tout ce dont j'ai besoin et je n'ai jamais rencontré de problème ! L'interface est très simple et efficace, et l'option de demande de virement par sms est très pratique ! Je suis satifaite du service 😊",très positif,82.95
658,Jean-françois,Plantage de l'application,3,24/05/2023,France,Plantage de l'application. Aucune visibilité sur l'envoi de mon chéquier.,très négatif,69.94
659,Christophe,Suite a un piratage de ma carte détecté…,5,24/05/2023,France,Suite a un piratage de ma carte détecté immédiatement et informé par OrangeBank,positif,26.57
660,Bernard,réciprocité,4,24/05/2023,France,les réponses sont directes et concrètes.,très positif,53.57
661,Mr claude  royer,Problème orange bank.tombe sur du…,4,24/05/2023,France,Problème orange bank.tombe sur du personnel super competemt a Châlons en Champagn,négatif,37.63
662,GUY du Pas de Calais ,Simple et competitif,4,24/05/2023,France,Propose des tarifs et produits attractifs. Toujours disponible via mon application. Dommage que la navigation sur le site ne soit pas toujours simple.,positif,66.47
663,Serge,j ai eu accès a un crédit facilement la…,5,24/05/2023,France,j ai eu accès a un crédit facilement la visibilité du compte sur mon mobile est très bien,très positif,61.94
664,Client,cool,5,24/05/2023,France,bien bien bien et bien,positif,46.7
665,Christel,Parfait,5,24/05/2023,France,J'ai eu réponse à tout.,très positif,47.4
667,Miclo,Pratique,5,24/05/2023,France,"Un compte réservé aux loisirs, parfait pour moi.",très positif,52.0
669,DIDIER,suite à un blocage de l'application,5,24/05/2023,France,suite à un blocage de l'application. dépanné par téléphone très rapidement par un accueil chaleureux et compréhensif.,positif,41.87
670,Gautreau,Je m en sert presque chaque jour des un…,5,24/05/2023,France,Je m en sert presque chaque jour des un paiement par carte je reçois un SMS  c est sécurisant.,très positif,54.08
671,Charlier oui,Appel du conseiller pour comprendre les…problématiques,5,24/05/2023,France,Appel du conseiller pour comprendre les difficultés,positif,36.97
672,Veronique nowak,Information,5,24/05/2023,France,Cette expérience m'a permis d'avoir des réponses à mes questionsIl faudrait améliorer le fait de pouvoir déposer des espèces ce qui n'est pas possible à ce jour,positif,49.43
673,Germaine,Excellent,5,24/05/2023,France,L'échange avec mon interlocuteur.,positif,36.44
674,Derny Stephane,Transfert d'argent par numéro de mobile…,5,24/05/2023,France,Transfert d'argent par numéro de mobile pour remboursement.,très négatif,48.93
675,Catherine,EFFICACITE,5,24/05/2023,France,"Pb datant de plusieurs années résolu en deux temps trois mouvements. Il n y a pas dire, l'échange avec un humain il n y a que ça  de réellement efficace.  Un grand  merci à la conseillère que j ai eu en ligne.",positif,50.38
676,Mochel,tout est bien,5,24/05/2023,France,Bonne application avec ce qu il faut pour gérer les comptes,positif,55.42
678,Sandra Collomb,Application fluide et temps réel,5,24/05/2023,France,Application fluide. L'achat remonté immédiatement dans l'appli  évite de prendre les tickets papier. Capacité de voir aussi le compte de ma fille mineure.,positif,51.03
679,Sauvage,Belle accueil magasin très bien…,5,24/05/2023,France,Belle accueil magasin très bien entretenu et personnels de qualité et courtois,très positif,54.53
680,Gevrey,Bien,5,24/05/2023,France,Très bien . J recommande,très positif,52.05
681,Nanou,Efficace,5,23/05/2023,France,Efficace et rapide,très positif,54.53
682,Madame léon,Une fois de plus je dirai la liberté…,4,23/05/2023,France,Une fois de plus je dirai la liberté que me laisse banque,très positif,44.95
683,Frederic,Problème sur l'appli,5,23/05/2023,France,Résolution rapide de mon problème par une personne aimable,positif,49.93
684,CHRISTOPHE,Un conseiller à l'écoute un conseiller…,5,23/05/2023,France,Un conseiller à l'écoute un conseiller très professionnel et une conversation téléphonique qui a permis d'obtenir ce dont j'attendais,très positif,65.99
685,Carlat,Bon6,4,23/05/2023,France,Outils sans soucis . Mise a jour très rapide..Coût très bas.,positif,44.36
686,Zaïre Goma,Expérience satisfaisante,4,23/05/2023,France,"Très pratique ! Cependant, il manque des fonctionnalités comme l'ouverture d'un PEA, d'un PEL, etc.",positif,55.03
687,Sylla,Excellente,5,23/05/2023,France,Excellente Excellente Excellente Excellente,très positif,84.57
688,Beatrice,Claire et nette,5,23/05/2023,France,Question et réponse,positif,39.15
690,Tatoum,Achat téléphone,4,23/05/2023,France,Facile d'accès en boutique,très positif,43.18
691,Durou,La Banque Parfaite,5,23/05/2023,France,"RAS, toujours parfait.",très positif,70.3
692,Christianne,c est pratique,5,23/05/2023,France,"c est pratique , je recharge ma carte à mon gres et peux payer sans contacts des petites sommes",positif,46.77
695,Jose Sengler,J'ai envoyé un virement mais le…,3,22/05/2023,France,J'ai envoyé un virement mais le problème c'est qu'il était limité à 1000€. Ça ne m'a pas arrangé.,négatif,40.38
696,MrPatate,Conseiller à l'écoute et renseignements…,5,22/05/2023,France,Conseiller à l'écoute et renseignements clair ont fait que mon échange s'est passé de très bonne façon.,très positif,54.51
697,Philippe Pacikonsky,"Une nouvelle couleur, Orange Bank 🍊Je suis vraiment très content d'avoir…",5,22/05/2023,France,"Je suis vraiment très content d'avoir pu trouver Orange Bank, discussions très positives et j'ai envie d'aller de l'avant avec Orange Bank !!",très positif,89.39
698,Lhomme c,Prise en charge rapide et sympathique,5,22/05/2023,France,"Prise en charge rapide et sympathique, problème résolu",positif,53.12
699,Elvire Pilotto,Carte de compte bloquée alors que ça…,5,22/05/2023,France,Carte de compte bloquée alors que ça fait 5 ans que j’y suis sous prétexte qu’ils ne connaissent pas mon identité ! Heureusement le service marketing en charge de Twitter a tout mis en œuvre pour répondre à mon problème dans le plus grand des calmes et avec une réactivité extraordinaire.,très négatif,23.52
700,Maria,Traitement de ma demande parfait,5,22/05/2023,France,Traitement de ma demande parfait ! Interlocuteur poli et courtois avec une voix bien agréable.,très positif,71.72
701,Paul,Prise en charge rapide de ma demande…,5,22/05/2023,France,Prise en charge rapide de ma demande par téléphone et solution apportée (en cours de traitement).,positif,52.56
702,Allan,La facilité à mettre en échec où de…,5,22/05/2023,France,La facilité à mettre en échec où de réussir à y contribuer est évidemment très bête et toute simple,négatif,40.23
703,Bellemere Thierry,On m'a diminué mon plafond de carte a…,1,22/05/2023,France,On m'a diminué mon plafond de carte a 1500 euros sans raison et pour récupérer mon plafond de 2000 euros c'est une pitié .au téléphone les opérateurs mentent ouvertement et se contrefiche de la situation.un désastre désastreux.Avec tout ça j'ai essayé de faire confiance ça a duré 1mois et puis ça a été un enfer appel sur appel et surtout il faut être patient voir très patient une honte!!!,très négatif,95.75
704, nicole,comprehension et efficacité,5,19/05/2023,France,"contacté par téléphone, un conseiller m'a rassuré et vérifié que mon compte n'était pas piraté et mon application sécurisée",positif,45.48
705,Jean Michel,Cela fait bientôt un an que j'ai…,5,18/05/2023,France,"Cela fait bientôt un an que j'ai ""migré"" de Groupama Banque vers Orange Bank et je suis pleinement satisfait. Seule ombre au tableau : le désengagement progressif d'Orange de ses métiers non historiques. Quel avenir pour les clients ?",positif,54.12
706,MARIE CHRISTINE ,Bon échange,5,18/05/2023,France,"Très bon échange téléphonique. Par contre échange par tchat très mauvais, impossible de se faire comprendre.",négatif,34.65
707,LOPEZ-FERNANDEZ J.FRANCOISE,J'ai téléphoné 3 fois pour le même…,4,17/05/2023,France,"J'ai téléphoné 3 fois pour le même problême ! Je croyais en avoir fini et enfin de compte mon souci n'est pas résolu ! Je retéléphonerai dès que la banque sera ouverte , c'est à dire vendredi ...En espérant qu'ils ne fassent pas le pont ! Et je crois bien que ça va devoir attendre MARDI PROCHAIN ....",très négatif,57.74
708,RACHEL LUISETTI,Une banque en ligne,5,17/05/2023,France,"Une banque en ligne dont,  je suis cliente depuis des années et je recommande Orange Bank.",très positif,65.89
